"","year","age_group_5_years","race_eth","first_degree_hx","age_menarche","age_first_birth","BIRADS_breast_density","current_hrt","menopaus","bmi_group","biophx","breast_cancer_history","count"
"90270",2000,10,1,0,1,2,2,9,2,9,1,9,3
"559229",2004,8,2,0,9,9,2,0,2,9,0,0,647
"1009333",2008,9,1,1,9,9,9,0,2,1,1,1,9
"779479",2006,7,5,0,2,0,2,0,2,9,1,0,1
"1023878",2008,11,1,0,9,9,1,0,2,9,0,0,161
"454290",2003,10,1,0,9,0,2,0,2,1,0,9,9
"491011",2004,4,1,9,1,9,2,9,9,9,1,9,2
"639449",2005,6,1,0,1,2,3,0,2,2,1,0,19
"313728",2002,8,1,1,9,2,2,0,2,1,0,0,5
"609389",2005,4,1,0,1,4,3,1,2,1,0,0,3
"503020",2004,5,1,0,9,4,9,0,1,1,0,0,529
"764331",2006,6,3,0,9,9,2,0,2,1,0,0,25
"811877",2006,11,1,0,9,1,2,0,2,9,1,0,51
"542046",2004,7,1,0,9,9,2,9,2,9,1,0,29
"1121483",2009,9,9,0,9,9,9,0,2,1,1,1,1
"1042731",2009,4,1,0,1,9,9,0,1,2,0,0,25
"497453",2004,4,9,0,9,9,3,9,9,9,9,0,87
"396683",2003,6,1,0,1,2,2,0,2,2,0,0,63
"1066386",2009,5,9,0,9,9,3,0,9,9,0,0,307
"1073373",2009,6,1,0,9,9,2,0,2,2,0,0,93
"1023929",2008,11,1,0,9,9,2,0,2,9,1,0,414
"875923",2007,7,1,0,1,4,4,1,2,1,9,0,1
"673778",2005,8,1,0,1,2,2,0,2,3,0,0,36
"737908",2006,5,1,0,1,2,4,0,1,1,0,0,65
"1063973",2009,5,5,0,9,0,2,0,2,9,0,0,9
"559229.1",2004,8,2,0,9,9,2,0,2,9,0,0,647
"349831",2002,12,1,0,9,9,2,0,2,9,1,0,312
"880734",2007,7,1,9,9,1,3,9,2,4,0,9,1
"126000",2001,4,1,0,9,9,3,0,3,9,0,0,294
"1090103",2009,7,1,0,9,9,9,0,2,1,0,0,195
"28881",2000,5,1,9,9,9,2,0,9,9,0,9,1146
"266920",2002,5,3,9,1,2,4,0,1,1,0,0,2
"987127",2008,7,3,0,0,1,1,9,2,9,0,0,1
"951019",2008,5,1,0,9,9,2,0,1,3,0,0,92
"14288",2000,4,1,9,9,9,4,0,9,9,0,9,428
"186157",2001,7,9,9,9,9,9,9,2,9,9,9,3141
"121228",2001,3,5,1,9,9,4,0,1,1,0,0,11
"502284",2004,5,1,0,9,1,3,0,1,1,0,0,48
"1080494",2009,6,3,0,9,9,3,9,9,9,0,0,96
"925877",2007,12,2,0,9,9,3,0,2,9,0,0,111
"905115",2007,9,3,0,9,9,9,0,2,2,0,0,59
"1039847",2009,3,3,0,9,3,3,0,1,1,0,0,56
"770254",2006,7,1,0,0,4,4,9,2,1,9,9,2
"79723",2000,9,1,0,0,2,2,1,2,2,0,0,16
"123097",2001,4,1,0,1,2,2,0,1,1,9,0,3
"886313",2007,7,9,0,9,1,2,0,2,9,0,0,180
"1136553",2009,11,9,1,9,9,4,1,2,9,0,0,1
"756868",2006,6,1,0,9,3,9,1,2,1,0,0,83
"149256",2001,5,5,0,9,9,1,0,1,9,0,9,14
"325755",2002,9,1,9,9,9,2,0,2,9,0,9,193
"159045",2001,6,1,0,9,4,3,1,2,9,0,9,26
"1134984",2009,11,3,0,9,9,9,9,2,9,0,0,326
"832540",2007,4,1,0,2,9,3,0,3,1,0,9,2
"409151",2003,6,3,0,9,4,9,0,3,9,0,0,8
"578073",2004,10,1,0,9,9,3,1,2,9,0,0,174
"25879",2000,5,1,0,9,9,9,0,1,9,0,0,1432
"349539",2002,12,1,0,9,3,3,0,2,2,0,0,6
"967000",2008,6,1,0,9,4,9,0,2,1,0,0,148
"128686",2001,4,1,9,9,9,9,9,9,3,9,9,69
"881852",2007,7,3,0,0,1,3,0,2,1,0,0,63
"94770",2000,10,2,9,9,9,2,1,2,9,0,9,69
"16780",2000,4,5,0,1,3,2,9,9,2,1,1,1
"283494",2002,6,1,1,9,9,3,1,2,1,0,0,33
"427439",2003,7,5,0,9,4,2,1,2,3,1,0,2
"62787",2000,7,1,9,9,9,2,1,2,9,0,9,2313
"888573",2007,8,1,0,1,4,3,0,2,1,0,0,88
"534250",2004,6,5,0,9,9,2,0,9,2,0,0,109
"542271",2004,7,1,1,0,0,1,1,2,4,0,0,1
"773515",2006,7,1,0,9,9,3,0,2,9,0,0,1497
"936848",2008,4,1,0,1,1,2,0,1,4,0,0,30
"58495",2000,7,1,0,2,1,2,0,2,9,0,0,66
"349832",2002,12,1,0,9,9,2,0,2,9,1,1,219
"893633",2007,8,2,0,9,3,9,0,2,2,0,0,2
"294247",2002,7,1,0,0,0,3,0,2,2,1,1,2
"910353",2007,10,1,0,9,4,3,9,2,9,0,0,40
"219925.1",2001,11,1,0,9,9,9,9,2,9,9,9,243
"583847",2004,10,9,0,9,9,9,0,2,9,0,0,69
"14221",2000,4,1,9,9,9,3,0,1,9,0,9,2937
"47731",2000,6,1,9,9,9,9,0,3,9,0,9,27
"640092",2005,6,1,0,1,4,3,0,1,2,0,0,55
"776862",2006,7,2,0,9,9,2,0,2,9,0,0,631
"706802",2005,11,1,1,1,0,2,0,2,1,0,0,6
"612817",2005,4,1,1,2,3,2,0,1,4,0,0,4
"740620",2006,5,1,0,9,3,9,0,1,2,0,0,183
